HS Code	Commodity	Value	Date	Growth
1	LIVE ANIMALS.	0	1/1/2014	
2	MEAT AND EDIBLE MEAT OFFAL.	232.9	1/1/2014	41.82
3	FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.	87.31	1/1/2014	122.82
4	DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.	4.68	1/1/2014	-21.11
5	PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.	0.49	1/1/2014	137.01
6	LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.	0.61	1/1/2014	129.13
7	EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.	8.77	1/1/2014	-35.67
8	EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.	5.51	1/1/2014	24.43
9	COFFEE, TEA, MATE AND SPICES.	36.59	1/1/2014	16.01
10	CEREALS.	93.28	1/1/2014	-30.18
11	PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.	4.02	1/1/2014	-8.8
12	OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.	44.83	1/1/2014	-28.28
13	LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.	2.8	1/1/2014	-26.53
14	VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.	0.08	1/1/2014	3,108.33
15	ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.	3.44	1/1/2014	-1.46
16	PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES	0.08	1/1/2014	44.21
17	SUGARS AND SUGAR CONFECTIONERY.	3.28	1/1/2014	318.07
18	COCOA AND COCOA PREPARATIONS.	0.75	1/1/2014	-7.1
19	PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.	1.21	1/1/2014	-30.61
20	PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.	1.31	1/1/2014	39.7
21	MISCELLANEOUS EDIBLE PREPARATIONS.	6.38	1/1/2014	63.39
22	BEVERAGES, SPIRITS AND VINEGAR.	1.75	1/1/2014	-40.8
23	RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.	58.99	1/1/2014	-50.43
24	TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.	10	1/1/2014	-1.33
25	SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.	10.11	1/1/2014	1.77
26	ORES, SLAG AND ASH.	4.07	1/1/2014	54,161.33
27	MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.	396.98	1/1/2014	-25.87
28	INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.	8.72	1/1/2014	-26.28
29	ORGANIC CHEMICALS	123.29	1/1/2014	-25.97
30	PHARMACEUTICAL PRODUCTS	48.84	1/1/2014	7.84
31	FERTILISERS.	2.08	1/1/2014	86.91
32	TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.	24.94	1/1/2014	16.6
33	ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.	10.71	1/1/2014	-1.53
34	SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.	2.59	1/1/2014	-5.12
35	ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.	2.9	1/1/2014	61.4
36	EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.	1.34	1/1/2014	
37	PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.	0.44	1/1/2014	33.45
38	MISCELLANEOUS CHEMICAL PRODUCTS.	25.85	1/1/2014	-16.02
39	PLASTIC AND ARTICLES THEREOF.	25.44	1/1/2014	-50.41
40	RUBBER AND ARTICLES THEREOF.	19.37	1/1/2014	-44.75
41	RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER	13.36	1/1/2014	31.24
42	ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.	0.97	1/1/2014	-23.21
43	FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.		1/1/2014	
44	WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.	0.61	1/1/2014	83.44
45	CORK AND ARTICLES OF CORK.	0.01	1/1/2014	2,860.00
46	MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.	0	1/1/2014	-94.87
47	PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.		1/1/2014	
48	PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.	7.69	1/1/2014	-5.52
49	PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.	0.67	1/1/2014	31.29
50	SILK	1.07	1/1/2014	14.96
51	WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.	0.81	1/1/2014	292.12
52	COTTON.	86.52	1/1/2014	-11.51
