Import,Export
-15.77,-29.68
-15.77,-29.68
-15.77,-29.68
-15.77,-29.68
-15.77,-29.68
-15.77,-29.68
-15.77,-29.68
-15.77,-29.68
-15.77,-29.68
-15.77,-29.68
-15.77,-29.68
-15.77,-29.68
15.92,-7.51
15.92,-7.51
15.92,-7.51
15.92,-7.51
15.92,-7.51
15.92,-7.51
15.92,-7.51
15.92,-7.51
15.92,-7.51
15.92,-7.51
15.92,-7.51
15.92,-7.51
-14.46,-7.18
-14.46,-7.18
-14.46,-7.18
-14.46,-7.18
-14.46,-7.18
-14.46,-7.18
-14.46,-7.18
-14.46,-7.18
-14.46,-7.18
-14.46,-7.18
-14.46,-7.18
-14.46,-7.18
30.59,81.22
30.59,81.22
30.59,81.22
30.59,81.22
30.59,81.22
30.59,81.22
30.59,81.22
30.59,81.22
30.59,81.22
30.59,81.22
30.59,81.22
30.59,81.22
3.58,-16.78
3.58,-16.78
3.58,-16.78
3.58,-16.78
3.58,-16.78
3.58,-16.78
3.58,-16.78
3.58,-16.78
3.58,-16.78
3.58,-16.78
3.58,-16.78
3.58,-16.78
15.69,-2.57
15.69,-2.57
15.69,-2.57
15.69,-2.57
15.69,-2.57
15.69,-2.57
15.69,-2.57
15.69,-2.57
15.69,-2.57
15.69,-2.57
15.69,-2.57
15.69,-2.57
14.96,11.94
14.96,11.94
14.96,11.94
14.96,11.94
14.96,11.94
14.96,11.94
14.96,11.94
14.96,11.94
14.96,11.94
14.96,11.94
14.96,11.94
14.96,11.94
