Country,Value,Date,%Growth
BRUNEI,60.85,2014-01-01,0.46
CAMBODIA,0.70,2014-01-01,-27.92
INDONESIA,811.33,2014-01-01,-28.66
LAO PD RP,0.04,2014-01-01,-99.82
MALAYSIA,735.81,2014-01-01,8.66
MYANMAR,109.77,2014-01-01,16.04
PHILIPPINES,30.60,2014-01-01,-8.98
SINGAPORE,536.30,2014-01-01,-23.20
THAILAND,395.35,2014-01-01,-4.81
VIETNAM SOC REP,144.31,2014-01-01,-33.04
BRUNEI,60.85,2014-02-01,0.46
CAMBODIA,0.70,2014-02-01,-27.92
INDONESIA,811.33,2014-02-01,-28.66
LAO PD RP,0.04,2014-02-01,-99.82
MALAYSIA,735.81,2014-02-01,8.66
MYANMAR,109.77,2014-02-01,16.04
PHILIPPINES,30.60,2014-02-01,-8.98
SINGAPORE,536.30,2014-02-01,-23.20
THAILAND,395.35,2014-02-01,-4.81
VIETNAM SOC REP,144.31,2014-02-01,-33.04
BRUNEI,60.85,2014-03-01,0.46
CAMBODIA,0.70,2014-03-01,-27.92
INDONESIA,811.33,2014-03-01,-28.66
LAO PD RP,0.04,2014-03-01,-99.82
MALAYSIA,735.81,2014-03-01,8.66
MYANMAR,109.77,2014-03-01,16.04
PHILIPPINES,30.60,2014-03-01,-8.98
SINGAPORE,536.30,2014-03-01,-23.20
THAILAND,395.35,2014-03-01,-4.81
VIETNAM SOC REP,144.31,2014-03-01,-33.04
BRUNEI,60.85,2014-04-01,0.46
CAMBODIA,0.70,2014-04-01,-27.92
INDONESIA,811.33,2014-04-01,-28.66
LAO PD RP,0.04,2014-04-01,-99.82
MALAYSIA,735.81,2014-04-01,8.66
MYANMAR,109.77,2014-04-01,16.04
PHILIPPINES,30.60,2014-04-01,-8.98
SINGAPORE,536.30,2014-04-01,-23.20
THAILAND,395.35,2014-04-01,-4.81
VIETNAM SOC REP,144.31,2014-04-01,-33.04
BRUNEI,60.85,2014-05-01,0.46
CAMBODIA,0.70,2014-05-01,-27.92
INDONESIA,811.33,2014-05-01,-28.66
LAO PD RP,0.04,2014-05-01,-99.82
MALAYSIA,735.81,2014-05-01,8.66
MYANMAR,109.77,2014-05-01,16.04
PHILIPPINES,30.60,2014-05-01,-8.98
SINGAPORE,536.30,2014-05-01,-23.20
THAILAND,395.35,2014-05-01,-4.81
VIETNAM SOC REP,144.31,2014-05-01,-33.04
BRUNEI,60.85,2014-06-01,0.46
CAMBODIA,0.70,2014-06-01,-27.92
INDONESIA,811.33,2014-06-01,-28.66
LAO PD RP,0.04,2014-06-01,-99.82
MALAYSIA,735.81,2014-06-01,8.66
MYANMAR,109.77,2014-06-01,16.04
PHILIPPINES,30.60,2014-06-01,-8.98
SINGAPORE,536.30,2014-06-01,-23.20
THAILAND,395.35,2014-06-01,-4.81
VIETNAM SOC REP,144.31,2014-06-01,-33.04
BRUNEI,60.85,2014-07-01,0.46
CAMBODIA,0.70,2014-07-01,-27.92
INDONESIA,811.33,2014-07-01,-28.66
LAO PD RP,0.04,2014-07-01,-99.82
MALAYSIA,735.81,2014-07-01,8.66
MYANMAR,109.77,2014-07-01,16.04
PHILIPPINES,30.60,2014-07-01,-8.98
SINGAPORE,536.30,2014-07-01,-23.20
THAILAND,395.35,2014-07-01,-4.81
VIETNAM SOC REP,144.31,2014-07-01,-33.04
BRUNEI,60.85,2014-08-01,0.46
CAMBODIA,0.70,2014-08-01,-27.92
INDONESIA,811.33,2014-08-01,-28.66
LAO PD RP,0.04,2014-08-01,-99.82
MALAYSIA,735.81,2014-08-01,8.66
MYANMAR,109.77,2014-08-01,16.04
PHILIPPINES,30.60,2014-08-01,-8.98
SINGAPORE,536.30,2014-08-01,-23.20
THAILAND,395.35,2014-08-01,-4.81
VIETNAM SOC REP,144.31,2014-08-01,-33.04
BRUNEI,60.85,2014-09-01,0.46
CAMBODIA,0.70,2014-09-01,-27.92
INDONESIA,811.33,2014-09-01,-28.66
LAO PD RP,0.04,2014-09-01,-99.82
MALAYSIA,735.81,2014-09-01,8.66
MYANMAR,109.77,2014-09-01,16.04
PHILIPPINES,30.60,2014-09-01,-8.98
SINGAPORE,536.30,2014-09-01,-23.20
THAILAND,395.35,2014-09-01,-4.81
VIETNAM SOC REP,144.31,2014-09-01,-33.04
BRUNEI,60.85,2014-10-01,0.46
CAMBODIA,0.70,2014-10-01,-27.92
INDONESIA,811.33,2014-10-01,-28.66
